,Latitude,Longitude,Neighbourhood
97,43.6786661,-79.355518,"Playter Estates-Danforth,Toronto,ON"
98,43.787048,-79.333714,"Pleasant View,Toronto,ON"
99,43.66605,-79.54456,"Princess-Rosethorn,Toronto,ON"
100,43.6607056,-79.360457,"Regent Park,Toronto,ON"
101,43.72373,-79.56623,"Rexdale-Kipling,Toronto,ON"
102,43.67479,-79.49442,"Rockcliffe-Smythe,Toronto,ON"
103,43.64887,-79.45016,"Roncesvalles,Toronto,ON"
104,43.6903876,-79.383297,"Rosedale-Moore Park,Toronto,ON"
105,43.80406,-79.16571,"Rouge,Toronto,ON"
106,43.65927,-79.48571,"Runnymede-Bloor West Village,Toronto,ON"
107,43.71161,-79.49809,"Rustic,Toronto,ON"
108,43.73899,-79.22124,"Scarborough Village,Toronto,ON"
109,43.6367,-79.43934,"South Parkdale,Toronto,ON"
110,43.64929,-79.33565,"South Riverdale,Toronto,ON"
111,43.75625,-79.37904,"St.Andrew-Windfields,Toronto,ON"
112,43.8161778,-79.314538,"Steeles,Toronto,ON"
113,43.63552,-79.50113,"Stonegate-Queensway,Toronto,ON"
114,43.77977,-79.29502,"Tam O'Shanter-Sullivan,Toronto,ON"
115,43.695,-79.2959,"Taylor-Massey,Toronto,ON"
116,43.6710244,-79.296712,"The Beaches,Toronto,ON"
117,43.73799,-79.56349,"Thistletown-Beaumond Heights,Toronto,ON"
118,43.704553,-79.345407,"Thorncliffe Park,Toronto,ON"
119,43.64791,-79.40849,"Trinity-Bellwoods,Toronto,ON"
120,43.663462,-79.39776,"University,Toronto,ON"
121,43.732658,-79.311189,"Victoria Village,Toronto,ON"
122,43.63388,-79.3772,"Waterfront Communities-The Island,Toronto,ON"
123,43.7689144,-79.187291,"West Hill,Toronto,ON"
124,43.7233703,-79.597457,"West Humber-Clairville,Toronto,ON"
125,43.77881,-79.45242,"Westminster-Branson,Toronto,ON"
126,43.7001608,-79.516247,"Weston,Toronto,ON"
127,43.67396,-79.46024,"Weston-Pelham Park,Toronto,ON"
128,43.74857,-79.29864,"Wexford/Maryvale,Toronto,ON"
129,43.7706,-79.40148,"Willowdale East,Toronto,ON"
130,43.77121,-79.42756,"Willowdale West,Toronto,ON"
131,43.68364,-79.55422,"Willowridge-Martingrove-Richview,Toronto,ON"
132,43.7598243,-79.225291,"Woburn,Toronto,ON"
133,43.67836,-79.31571,"Woodbine Corridor,Toronto,ON"
134,43.69214,-79.3097,"Woodbine-Lumsden,Toronto,ON"
135,43.67757,-79.4218,"Wychwood,Toronto,ON"
136,43.70469,-79.40359,"Yonge-Eglinton,Toronto,ON"
137,43.68786,-79.39787,"Yonge-St.Clair,Toronto,ON"
138,43.76574,-79.48888,"York University Heights,Toronto,ON"
139,43.71467,-79.45711,"Yorkdale-Glen Park,Toronto,ON"
