Neighbourhood,"Population,2016",Population Growth,Children (0-14 years),Youth (15-24 years),Working Age(25-64 years),Seniors (65+ years),High School,Bachelors Degree,Masters  degree,Doctorate,Median Household Income,Employment Rate %,Umemployment Rate %,Total Crime,Crime Rate,Detached house,Semi-Detached house,Apartment/Condo,Other attached Dwelling,Row house,Owned House,Rented House,1 Bedroom,2 Bedrooms,3 Bedrooms,4+ Bedrooms,Constructed<1960,Constructed 1961-80,Constructed 1991-2000,Constructed 2001-05,Constructed 2006-10,Constructed 2011-16,Home Sales,Sales Volume($),Average Price,Median Price,New Listings,Active Listings,Avg SP/LP,AvgDaysonMarket,Median Rent($),Schools,Grocery/Convenience Stores,Hospital/Pharmacies,Transport,Bank/Gas,"Parks,Beaches & Outdoors","Health,Fitness & Sports",Shopping & Recreation,Food & Restaurants
Henry Farm,15723,38.7,2505,2330,9435,1595,1390,3295,1585,110,56644,58.5,10.3,104,6.6145137696368375,495,0,5425,540,435,2355,4010,2710,1965,1145,485,465,2410,295,195,375,2310,96,58867121,613199,555000,252,101,1.0,17,1862,1,0,1,0,0,1,1,0,0
High Park North,22162,4.1,2850,1890,14245,3730,1830,5225,2425,475,73547,67.1,7.1,149,6.723219925999459,1370,600,8910,3130,130,3725,7295,4955,2680,1635,1190,4340,4715,310,255,295,475,51,61442233,1204750,1225000,92,30,1.04,14,2650,5,0,0,0,0,2,2,0,0
High Park-Swansea,23925,10.1,3540,2125,14440,4555,1865,5465,2325,390,82753,68.9,6.0,181,7.565308254963428,2655,515,7390,4660,290,6135,4745,3730,2910,2330,1775,5935,1850,370,205,645,1270,98,111876752,1141600,766500,232,70,1.05,12,2100,0,0,0,0,0,7,1,3,1
Highland Creek,12494,-4.6,1545,1925,6640,2585,1605,1535,430,40,102740,55.8,8.5,114,9.124379702257084,3100,5,575,590,15,3290,410,80,190,800,2610,340,475,760,165,195,75,37,37503600,1013611,1025000,64,14,1.02,19,2125,0,0,0,0,0,0,0,0,0
Hillcrest Village,16934,-4.1,2115,2170,8325,4935,1265,2945,1240,190,70539,49.1,8.3,114,6.732018424471478,1650,825,2850,2805,1070,4895,1505,705,1220,2195,2120,465,4560,385,60,20,15,52,47038242,904582,791500,89,29,1.01,16,2550,1,0,1,0,0,1,0,0,2
Humber Heights-Westmount,10948,3.4,1450,1140,5300,3995,1280,1075,375,65,68996,54.8,7.4,82,7.489952502740227,1680,60,2345,490,65,2515,1620,445,1545,1415,715,1175,1865,325,65,230,85,34,29557075,869326,834750,54,21,1.02,23,2525,1,0,0,0,1,1,0,0,2
Humber Summit,12416,-0.9,2155,1720,6170,2640,1870,780,310,35,61373,50.7,9.6,262,21.101804123711343,525,1790,1490,2655,85,2725,1165,320,665,1620,1290,605,2640,145,130,95,15,32,27179500,849359,828250,50,21,1.01,14,1400,2,0,0,0,0,2,0,0,1
Humbermede,15545,-1.9,2945,2225,8205,2420,2390,1135,325,35,57609,54.6,10.2,209,13.444837568349953,575,1135,2875,2895,455,2660,2400,590,1505,1535,1395,1345,2500,250,125,320,50,42,28406000,676333,726000,59,18,1.02,13,1600,1,1,1,0,0,0,0,0,9
Humewood-Cedarvale,14365,1.8,2165,1610,8655,2220,1235,2885,1355,220,61110,68.5,7.1,109,7.587887225896275,1850,265,4455,3015,0,2325,4240,2610,1485,1140,1130,4165,1595,240,55,75,85,35,48987900,1399654,1355000,64,19,1.07,10,2200,2,1,0,0,0,2,1,0,0
Ionview,13641,4.2,2310,1645,7770,2135,2020,1415,560,40,53177,55.7,8.8,136,9.969943552525477,1020,375,3530,1370,145,2020,3140,1505,1630,1290,685,2265,2125,310,95,40,10,23,16421000,713957,750000,39,7,1.06,11,2500,0,0,0,0,0,2,0,0,0
Islington-City Centre West,43965,15.4,5820,4695,26040,8885,4835,8270,2820,300,72921,63.6,7.3,537,12.21426134425111,5175,125,13345,1795,650,11215,8105,5930,6645,4060,2545,4260,4880,1075,1545,2920,3190,265,216303513,816240,610000,585,195,1.01,16,2075,1,0,0,0,1,0,0,1,11
Junction Area,14366,2.4,2190,1465,9220,1675,1650,2870,1155,150,73720,69.9,5.6,167,11.624669358206878,740,980,3740,4585,565,3575,2460,1670,1460,1735,1055,3550,710,250,555,490,315,68,67754142,996384,919500,101,27,1.06,8,1800,4,1,0,1,0,0,2,12,33
Keelesdale-Eglinton West,11058,3.9,1610,1430,6225,2015,1685,725,115,15,57780,54.7,8.6,106,9.585820220654726,1670,425,2065,1845,10,2585,1610,930,1215,1425,585,1870,1125,405,205,105,110,39,29476888,755818,825000,75,23,1.01,18,1850,2,0,0,0,0,0,0,1,7
Kennedy Park,17123,0.4,2775,2175,9630,2880,2680,1630,600,55,51028,54.0,9.1,313,18.279507095719207,1805,350,4210,2020,125,3600,2980,1630,1890,1660,1320,2505,2235,725,100,35,80,53,38002198,717023,751000,67,12,1.04,12,2100,2,0,0,0,0,1,0,0,0
Kensington-Chinatown,17945,-3.0,1315,3350,10555,3185,2030,2995,1250,355,44216,57.5,8.2,534,29.75759264419057,70,215,7805,4100,600,2540,6200,3665,2470,1000,1055,2720,2495,765,440,390,585,42,43423640,1033896,955000,132,74,1.01,25,1600,6,1,3,0,0,1,0,6,33
Kingsview Village-The Westway,22000,1.3,4240,3020,11185,4160,3175,1990,590,50,60824,52.1,9.9,232,10.545454545454543,2175,130,5150,850,315,4055,3735,965,3180,2495,1115,2130,4200,370,75,10,40,63,49705072,788969,837000,127,41,1.02,25,2250,2,0,0,0,0,0,0,1,2
Kingsway South,9271,1.1,1580,1100,4590,2320,455,1980,915,140,151552,58.6,7.5,72,7.7661525186064075,2310,70,1155,485,50,2910,660,315,990,1030,1250,2165,380,235,215,230,140,50,101622360,2032447,1785000,87,24,1.02,14,2450,0,0,0,0,0,0,0,1,0
Lambton Baby Point,7985,0.8,1695,905,4360,1165,640,1375,715,135,93586,61.8,7.6,289,36.19286161552912,1270,545,1130,1160,185,1845,1280,515,690,1235,670,2180,570,75,0,40,30,32,51089198,1596537,1433000,43,6,1.06,13,1850,1,0,0,0,0,3,0,0,0
L'Amoreaux,43993,-2.1,6120,5730,23140,10335,5655,5240,1445,185,62871,50.4,10.9,43,0.9774282272179664,3685,925,8010,4620,2415,9825,5205,2085,3820,4760,4270,1210,9995,770,455,120,285,152,118088935,776901,680000,231,50,1.03,14,2300,3,0,1,1,0,0,1,1,4
Lansing-Westgate,16164,10.4,2420,2105,9500,2520,1255,3555,1655,205,80384,62.5,7.2,150,9.279881217520416,2355,30,4175,915,0,3840,2740,1690,2280,1115,1485,1920,1065,440,995,680,770,77,101506305,1318264,1065000,158,66,0.99,20,1875,1,0,0,0,0,0,2,0,0
Lawrence Park North,14607,0.5,3280,1670,7705,2200,665,3390,1585,265,144963,65.9,6.4,69,4.72376257958513,3110,885,1395,2095,30,4115,1315,735,735,2475,1455,3855,470,230,220,190,165,62,124217747,2003512,1762500,98,30,1.01,13,3435,2,0,2,1,2,0,3,6,34
Lawrence Park South,15179,0.7,2845,2095,7985,2550,685,3345,1870,260,151885,63.1,7.5,87,5.731602872389486,3420,110,2170,1420,35,4005,1750,1065,1000,1180,2435,4105,470,275,325,210,175,48,132523000,2760896,2820000,103,45,1.0,14,3435,4,0,1,0,0,0,2,1,2
Leaside-Bennington,16828,-1.1,3285,2175,8795,2950,990,3600,1610,305,126930,63.7,6.9,79,4.694556691228904,3565,795,1990,2340,75,4635,1800,1025,1190,2290,1840,4640,620,335,230,210,210,70,114891056,1641301,1627500,99,30,1.02,13,3200,6,0,0,0,0,1,2,2,10
Little Portugal,15559,29.1,1400,1605,10710,2110,1950,3575,1275,160,66542,73.0,6.4,187,12.018767272960988,270,460,6030,4250,605,3280,4145,2830,2360,1360,755,3355,800,195,125,545,2225,92,80364613,873528,743500,242,83,1.06,12,1800,6,6,0,0,0,1,2,3,30
Long Branch,10084,4.7,1335,1130,6225,1545,1445,1445,490,70,61536,65.6,7.1,106,10.511701705672351,1480,80,3160,2205,90,2240,2575,1395,1755,1095,515,2260,1290,310,100,195,255,77,72647000,943468,818000,132,36,1.01,16,2450,1,0,0,0,2,1,0,0,9
Malvern,43794,-2.9,7910,6620,23400,6335,6825,4310,1005,80,64114,55.5,10.5,457,10.435219436452485,3475,1275,5050,6865,3540,9395,4020,1495,2760,4835,4285,510,5505,2165,900,410,205,185,109117697,589825,601000,259,61,1.03,16,1900,2,0,2,0,0,1,1,0,8
Maple Leaf,10111,-0.8,1500,1265,5315,2410,1515,1130,145,0,62976,56.5,8.1,87,8.604490159232519,1635,175,1640,1115,95,2000,1560,620,910,1265,755,1310,1445,350,105,45,55,38,39083527,1028514,1022500,53,12,0.99,20,2700,1,0,0,0,0,0,0,1,2
Markland Wood,10554,1.1,1340,1165,5335,3240,1005,1720,460,75,86965,56.1,6.2,69,6.537805571347357,1780,5,2235,505,285,3200,1105,340,1195,1700,1055,820,3265,40,10,35,10,38,37920025,997895,688500,49,18,1.01,19,3400,1,0,0,0,1,0,0,1,2
Milliken,26572,-2.2,3675,3195,14595,5995,4475,2715,430,50,65861,49.3,9.5,240,9.032063826584373,3900,550,2585,1825,610,6810,860,500,1665,2655,2815,95,1765,1265,120,210,105,80,61946893,774336,820000,133,32,1.07,13,2190,1,0,0,0,1,0,1,1,13
Mimico (includes Humber Bay Shores),33964,28.0,3505,3010,22315,5725,4065,6365,2185,235,67525,66.6,6.2,352,10.363914733246967,2255,285,14310,4720,915,9150,8635,7270,6720,2455,860,4255,3185,1775,1485,1445,4100,345,266489658,772434,675000,789,309,1.0,16,2300,1,0,0,0,0,1,1,2,4
Morningside,17455,-0.8,2880,2690,9195,3050,2380,1705,425,40,52721,54.4,11.4,217,12.431967917502147,2280,25,2645,1470,920,3530,2345,930,1330,1985,1605,1180,3230,335,180,140,40,48,36680434,764176,815000,85,30,1.04,14,2200,1,0,5,0,0,2,0,1,6
Moss Park,20506,25.8,1540,2060,15025,2040,2225,4650,1870,265,49252,67.5,6.9,756,36.86725836340583,65,135,10700,3275,630,3920,7630,6785,2830,710,325,2585,2120,1100,1020,1325,2605,110,78721498,715650,647450,361,143,1.01,15,1500,3,0,1,0,0,0,1,9,34
Mount Dennis,13593,3.4,2395,1815,7690,1950,2160,870,295,20,52162,56.6,10.8,185,13.609946295887587,955,150,3740,1730,335,2440,2740,1255,1845,1510,495,1635,1790,650,260,200,65,34,22822650,671254,695000,59,15,1.03,15,2350,3,0,0,1,0,0,1,0,3
Mount Olive-Silverstone-Jamestown,32954,0.5,7090,5240,17090,3860,4875,2500,900,50,57414,50.4,12.1,454,13.77677975359592,1655,160,7010,2065,1040,4425,5455,1195,4030,2905,1610,1405,4610,1320,170,45,80,77,42924381,557459,475000,140,40,1.01,19,2000,1,0,0,0,0,1,0,0,2
Mount Pleasant East,16775,5.0,2980,1705,9640,2715,1100,3895,1870,260,93566,65.7,6.9,51,3.0402384500745154,2160,1620,3510,3010,140,4205,3230,2060,1590,2455,1205,4065,1640,455,165,150,350,73,103382823,1416203,1399900,136,49,1.02,14,2000,10,0,0,0,1,0,2,3,22
Mount Pleasant West,29658,3.7,2380,2520,20130,5545,2545,7840,3440,425,61839,69.5,6.7,167,5.630858453031223,475,185,16640,2240,200,4415,13070,9885,5195,860,340,2690,6950,1855,1345,2375,630,139,111373993,801252,669000,422,196,1.0,16,2500,2,1,1,0,1,0,3,3,58
New Toronto,11463,5.2,1610,1390,6795,1665,1475,1705,425,55,50891,60.9,8.7,178,15.528221233533973,1555,215,3345,2640,260,2335,3040,1605,1970,1160,485,2485,1020,710,260,205,195,37,38422400,1038443,975000,71,25,1.04,9,2500,3,0,1,0,0,2,1,0,14
Newtonbrook East,16097,-2.0,1585,2185,9015,3990,1270,3400,1185,240,60358,52.8,8.8,141,8.7593961607753,2760,10,3300,765,30,3965,2155,1445,1655,1100,1835,1080,1745,1180,350,420,245,60,66853456,1114224,657900,172,83,0.99,20,1900,0,0,1,0,0,0,0,0,1
Newtonbrook West,23831,3.4,2810,3325,13520,4850,2920,4020,1255,295,54981,54.7,8.4,262,10.994083336830178,2530,605,5270,2030,550,4710,4250,1880,2780,2250,2000,1825,3745,740,340,895,625,70,72797099,1039959,840500,197,84,1.02,19,1700,0,0,0,0,0,0,0,0,0
Niagara,31180,46.6,2055,2415,25205,1605,2650,10800,3565,330,79441,82.7,4.5,380,12.187299550994224,35,110,17730,3150,860,9380,9395,10410,6240,1180,230,1395,940,1690,2370,4425,6230,314,238859347,760699,690000,855,273,1.01,14,2250,4,1,2,0,0,1,7,14,32
North Riverdale,11916,-2.3,1960,1170,7135,1800,1025,2560,1180,225,89063,69.6,5.3,142,11.916750587445453,815,1305,2475,3520,360,2805,2205,1340,1005,1355,1220,3870,865,65,25,35,30,25,42719510,1708780,1500000,45,7,1.14,6,2000,3,1,0,0,0,3,2,0,2
North St. James Town,18615,4.4,2290,2265,12320,1960,2385,3510,1425,180,41016,60.4,10.4,238,12.78538812785388,5,0,9440,705,100,955,8610,5960,2615,400,20,2080,4880,365,210,905,325,21,15657500,745595,675000,60,24,1.02,18,1900,2,0,2,0,1,1,0,2,22
Oakridge,13845,2.6,2865,1680,7645,1910,1980,1425,920,70,39757,48.8,14.6,213,15.384615384615385,1050,140,3865,1065,200,1680,3595,2075,1485,895,550,1695,2355,250,90,50,140,29,23886275,823665,827775,62,22,1.01,19,1312,0,0,0,1,0,1,0,0,3
Oakwood Village,21210,0.7,3130,2275,12125,4240,2635,2870,1085,195,58216,61.2,6.8,248,11.692597831211692,2795,1260,4600,4385,20,4605,4085,2230,2140,2820,1250,5665,1950,315,80,80,70,63,68198445,1082515,1050000,102,30,1.07,11,2200,4,2,0,0,1,0,3,1,16
O'Connor-Parkview,18675,2.0,3110,2385,10505,3120,2525,2365,755,50,59729,56.0,10.1,205,10.977242302543507,3030,130,4165,2050,145,3465,4005,1835,2375,1930,1240,4020,2195,545,160,115,105,52,64911760,1248303,1194950,88,25,1.07,13,4300,2,1,1,0,1,0,3,1,5
Old East York,9233,1.3,1470,915,5315,1750,1105,1445,440,45,77824,62.9,5.0,78,8.447958410050905,2220,170,1400,1050,0,2475,1320,795,1060,1250,650,2740,620,105,40,65,75,49,56981686,1162892,1095000,89,19,1.07,13,2397,1,0,0,0,0,3,0,1,4
Palmerston-Little Italy,13826,0.6,1280,1465,9105,2250,1555,3220,1455,335,71168,69.1,6.8,164,11.861709822074351,355,960,4610,5800,295,2620,3715,2090,1570,1330,1230,4810,900,170,25,20,120,39,62792795,1610072,1700000,85,22,1.04,15,1922,8,1,0,0,0,1,1,4,15
Parkwoods-Donalda,34805,0.5,5840,4680,19045,6025,4200,5060,1710,180,65126,57.3,9.2,289,8.303404683235168,2555,1355,8020,4060,1370,5300,8020,2200,4670,3865,2565,3895,7265,795,135,165,250,78,82327116,1055476,880650,138,40,0.99,16,2400,1,0,0,0,0,1,0,0,1
Pelmo Park-Humberlea,10722,23.1,1745,1370,6035,1795,1610,1025,190,20,79508,61.5,6.0,129,12.031337437045329,1795,510,1125,1385,260,3070,645,315,635,1785,975,1255,880,300,180,290,525,44,37180922,872931,840000,83,29,0.995,17,1550,0,0,0,0,0,0,0,1,1
Playter Estates-Danforth,7804,2.0,1150,735,4695,1415,655,1650,855,160,74314,67.6,6.4,129,16.529984623270117,630,580,2295,2045,60,1655,1920,1185,770,835,645,2300,965,95,35,10,40,22,37455100,1702505,1535500,37,9,1.14,8,2572,2,1,0,0,1,1,4,3,41
Pleasant View,15818,-2.0,2050,2080,8490,3550,1670,2535,815,150,70189,53.1,10.0,114,7.206979390567707,1010,1805,2410,3050,270,4180,1340,450,955,1970,2125,365,4475,205,85,35,15,49,39806700,812382,885000,68,16,1.05,15,1750,2,0,1,0,1,1,1,2,8
Princess-Rosethorn,11051,-1.3,1770,1580,5680,2350,855,2005,800,100,139039,59.5,6.0,123,11.130214460229842,3295,5,510,135,40,3270,595,135,395,1505,1840,2175,1055,155,55,100,165,42,81982031,1951953,1836475,72,23,1.0,19,5000,0,0,0,0,0,1,0,0,0
Regent Park,10803,8.0,1635,1775,6675,780,1405,1765,665,85,42369,56.6,9.6,140,12.959363139868556,5,50,4375,1350,505,1260,3700,2210,1515,715,185,1120,905,165,95,610,1750,49,36332800,741486,650000,141,50,1.03,17,1850,4,0,2,0,0,1,1,2,13
Rexdale-Kipling,10529,0.4,1640,1355,5820,2030,1680,960,205,25,63232,55.9,10.9,132,12.536803115205624,1775,30,1610,1610,430,2155,1685,625,830,1605,770,2255,1160,105,40,80,0,37,29906300,808278,838500,47,10,1.04,12,1450,0,0,0,0,0,1,0,1,0
Rockcliffe-Smythe,22246,-0.1,3505,2740,12345,4135,3410,1610,360,50,54908,54.3,9.2,284,12.766340016182685,2765,1055,5000,3030,240,5135,3920,1990,2790,3050,945,4250,3425,435,115,70,80,69,57820400,837977,851500,123,33,1.06,11,2000,2,0,0,1,0,2,0,0,5
Roncesvalles,14974,-0.5,2300,1305,9680,1865,1765,3040,1345,230,63130,66.9,6.7,189,12.621877921731,675,995,4865,4505,320,3000,3885,2590,1415,1510,970,4825,1380,130,40,220,95,63,73480430,1166356,1027000,113,28,1.06,9,2600,3,1,0,0,2,0,0,7,31
Rosedale-Moore Park,20923,1.4,2625,2185,10955,5890,1160,4240,2445,320,106740,60.1,6.0,194,9.272092912106293,2450,485,6840,2600,260,5570,4485,3175,3100,1270,2365,4805,2530,670,850,170,195,84,231673542,2758018,2374500,212,106,0.99,19,2287,2,0,0,0,0,0,1,0,0
Rouge,46496,1.3,7960,6700,25200,7310,6770,5395,1285,75,101482,59.4,8.2,285,6.129559532002753,7625,1145,2760,4775,1855,11195,2205,520,1745,4450,6660,685,2375,1840,3375,1225,290,131,117009108,921997,860025,192,37,1.03,14,2000,1,0,1,0,0,1,0,0,2
Runnymede-Bloor West Village,10070,4.5,2050,960,5820,1440,795,2170,1065,220,112128,69.0,5.1,91,9.03674280039722,2025,760,975,1805,50,3000,815,415,620,1890,865,3320,335,25,25,25,35,44,62186573,1413331,1347000,48,5,1.13,6,3940,4,0,0,0,0,0,0,0,17
Rustic,9941,-0.1,1940,1405,4730,2230,1520,460,75,0,44904,47.8,9.1,100,10.059350165979275,1150,210,2290,535,5,1390,2265,775,1250,1100,510,1045,1525,555,60,20,25,5,4111000,822200,900000,15,7,0.98,14,2495,1,0,0,0,0,0,0,0,0
