Neighbourhood,"Population,2016",Population Growth,Children (0-14 years),Youth (15-24 years),Working Age(25-64 years),Seniors (65+ years),High School,Bachelors Degree,Masters  degree,Doctorate,Median Household Income,Employment Rate %,Umemployment Rate %,Total Crime,Crime Rate,Detached house,Semi-Detached house,Apartment/Condo,Other attached Dwelling,Row house,Owned House,Rented House,1 Bedroom,2 Bedrooms,3 Bedrooms,4+ Bedrooms,Constructed<1960,Constructed 1961-80,Constructed 1991-2000,Constructed 2001-05,Constructed 2006-10,Constructed 2011-16,Home Sales,Sales Volume($),Average Price,Median Price,New Listings,Active Listings,Avg SP/LP,AvgDaysonMarket,Median Rent($),Schools,Grocery/Convenience Stores,Hospital/Pharmacies,Transport,Bank/Gas,"Parks,Beaches & Outdoors","Health,Fitness & Sports",Shopping & Recreation,Food & Restaurants
Weston,17992,-1.0,3100,2225,10215,2840,2775,1390,350,50,45696,55.5,10.6,332,18.45264562027568,1620,205,5625,1590,160,2800,4795,2680,2570,1370,760,2720,2745,870,250,325,40,48,36386867,758060,789500,103,46,1.04,13,2475,1,0,1,2,0,1,2,1,6
Weston-Pelham Park,11098,-7.6,1675,1415,6690,1475,1765,995,325,20,59682,58.0,8.5,140,12.61488556496666,505,1220,2185,3235,300,2475,1750,865,935,1630,635,2575,880,125,320,55,30,40,37640104,941003,880000,72,20,1.07,11,1600,4,0,0,0,0,2,0,1,9
Wexford/Maryvale,27917,3.3,4215,3650,15320,5620,4200,3065,895,85,62837,55.9,9.0,345,12.358061396281837,5290,15,4440,2955,360,6090,4015,1680,2225,3580,2575,5955,2655,555,135,50,255,75,70326412,937685,920000,138,34,1.07,12,1775,0,1,0,0,1,0,0,0,9
Willowdale East,50434,12.0,5920,6940,31310,7100,3780,12725,5535,800,61725,55.9,8.5,311,6.1664749970258175,3385,65,18000,2830,845,13800,8505,7680,8905,2990,2510,1510,2050,3845,5850,3860,3215,297,282429211,950940,665000,712,304,0.99,20,2050,1,0,0,0,0,0,0,1,1
Willowdale West,16936,12.9,1785,2230,9550,4025,1395,3745,1520,260,56942,52.2,9.8,169,9.978743504959848,2030,140,5125,895,250,4810,2755,2020,2650,1390,1220,1650,1165,760,795,1215,1320,90,95394487,1059939,736250,234,108,1.0,17,1900,3,0,0,0,0,1,0,0,0
Willowridge-Martingrove-Richview,22156,3.8,3555,2625,11045,5790,2825,2725,835,105,71584,53.5,8.5,247,11.148221700667989,3600,530,4030,1165,345,4595,3925,1335,1995,3310,1840,2315,4800,295,70,205,290,47,46206228,983111,970000,77,30,1.06,16,2000,3,0,0,0,0,0,0,0,0
Woburn,53485,0.3,9625,7660,28190,9140,7485,5880,1955,155,58921,51.9,10.6,558,10.432831635037859,6310,285,11570,2795,240,9765,8670,3365,5830,4940,3990,6010,7175,2305,910,565,320,153,113073802,739044,820000,296,95,1.05,13,1625,1,2,1,0,1,0,1,5,10
Woodbine Corridor,12541,7.2,2325,1035,7790,1550,1255,2535,910,145,72792,66.4,7.7,152,12.120245594450205,885,1555,2690,3910,300,3170,2275,1405,1145,2240,520,3575,785,340,130,80,215,57,67817809,1189786,1205000,88,23,1.11,8,1750,3,0,0,0,0,1,0,0,1
Woodbine-Lumsden,7865,0.5,1165,675,4940,1220,1125,1310,485,90,74608,65.5,6.6,55,6.9930069930069925,1885,325,1215,955,20,2355,1095,665,1120,1130,435,2485,605,95,50,45,75,50,52246390,1044928,1016045,73,13,1.08,8,1500,1,0,0,0,0,1,0,0,3
Wychwood,14349,2.6,1860,1320,8015,4030,1370,2285,1135,230,66089,65.6,5.2,146,10.17492508188724,920,880,3770,3715,290,2855,3040,1860,1420,1610,940,3190,1195,425,80,165,275,36,45754268,1270952,1250000,58,20,1.05,13,2500,0,0,1,0,0,1,0,1,2
Yonge-Eglinton,11817,11.7,1800,1225,7185,1765,680,2875,1505,250,80896,68.2,6.9,115,9.731742405009733,1400,465,3750,2275,60,2195,3480,2045,1335,1085,945,2995,1380,190,145,75,555,30,46956026,1565201,1512500,81,30,1.03,12,2000,2,0,0,0,2,1,3,7,24
Yonge-St.Clair,12528,7.5,1210,920,7500,3375,900,2785,1600,180,80136,65.2,5.9,72,5.747126436781608,520,450,5815,2175,220,2695,4315,3005,2320,815,615,3280,2040,415,430,255,135,56,99222250,1771826,1610000,129,52,0.99,21,1900,5,0,2,0,2,0,3,1,40
York University Heights,27593,-0.4,4045,4750,15255,3930,3875,3135,935,155,53772,56.3,10.7,673,24.390243902439018,1235,1360,6780,3430,775,4600,5565,2795,2765,2620,1850,1245,5470,645,475,830,590,83,58812250,708581,659000,149,60,1.01,22,1900,1,1,0,1,1,0,1,2,7
Yorkdale-Glen Park,14804,0.8,1960,1870,7670,4070,2115,1240,385,80,63778,55.3,8.0,332,22.426371251013236,2165,80,2480,1995,600,3300,2045,975,1300,1885,1155,2025,1860,245,265,125,545,85,56722688,667326,535000,225,102,1.0,21,1800,0,0,0,0,1,0,1,3,13
